Team,Team Score,Opponent,Opponent Score,Map,Map WinRate,Team Ranking (points),Opponent Ranking (points)
Natus Vincere,7,Heroic,16,trn,65,558,117
North,8,FaZe,16,trn,59.6,280,451
NRG,19,SK,16,inf,66,306,451
SK,14,NRG,16,mrg,,306,306
Cloud9,25,SK,22,inf,53.4,84,306
SK,6,Cloud9,16,cch,,84,84
North,16,G2,13,ovp,57.8,280,67
G2,12,North,16,mrg,47.3,67,280
NiP,16,Natus Vincere,7,inf,60.3,352,558
Gambit,16,fnatic,8,ovp,58.1,60,183
Natus Vincere,12,NiP,16,ovp,64.3,558,352
fnatic,16,Gambit,8,cbl,65.2,183,60
HellRaisers,16,mousesports,7,cbl,56.2,129,341
mousesports,16,HellRaisers,4,mrg,61.8,341,129
NiP,11,Astralis,16,inf,60.3,352,1000
Astralis,19,NiP,17,mrg,69.7,1000,352
fnatic,16,NiP,13,mrg,61.4,183,352
NiP,7,fnatic,16,ovp,57,352,183
HellRaisers,16,FaZe,8,cch,60,129,451
FaZe,16,HellRaisers,10,inf,62.3,451,129
mousesports,13,Virtus.pro,16,trn,54.4,341,129
Virtus.pro,1,mousesports,16,nuke,,341,341
North,16,fnatic,11,trn,59.6,280,183
fnatic,9,North,16,cbl,65.2,183,280
fnatic,7,Astralis,16,inf,67.2,183,1000
Astralis,16,fnatic,1,trn,63.6,1000,183
HellRaisers,16,NiP,9,cbl,56.2,129,352
NiP,16,HellRaisers,2,inf,60.3,352,129
G2,16,Heroic,14,ovp,50.5,67,117
Heroic,10,G2,16,inf,44,117,67
HellRaisers,6,Astralis,16,mrg,49.5,129,1000
Astralis,16,HellRaisers,19,ovp,66.7,1000,129
NiP,16,Heroic,19,trn,68.3,352,117
Heroic,6,NiP,16,inf,44,117,352
Renegades,9,Liquid,16,cbl,56.9,109,455
Liquid,16,Renegades,12,mrg,56.7,455,109
mousesports,14,Heroic,16,cbl,51.1,341,117
FaZe,11,Astralis,16,mrg,62.8,451,1000
Heroic,5,mousesports,16,inf,44,117,341
Astralis,19,FaZe,15,inf,71.9,1000,451
NiP,16,G2,12,inf,60.3,352,67
mousesports,2,FaZe,16,mrg,61.8,341,451
G2,11,NiP,16,mrg,47.3,67,352
FaZe,16,mousesports,10,inf,62.3,451,341
Astralis,16,North,11,nuke,75.7,1000,280
North,4,Astralis,16,inf,57.6,280,1000
NiP,16,mousesports,12,trn,68.3,352,341
mousesports,16,NiP,8,mrg,61.8,341,352
Heroic,8,FaZe,16,trn,49.6,117,451
NiP,7,Virtus.pro,16,trn,68.3,352,451
FaZe,16,Heroic,9,mrg,62.8,451,117
